PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG_pct,3PM,3PA,3P_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Change
LaMarcus Aldridge,SAS,33,75,44,31,33.3,21.2,8.4,16.3,51.6,0.1,0.5,27,4.3,5.1,85.3,3,6,9,2.5,1.9,0.5,1.3,2.2,39.3,28,0,0.5
Jrue Holiday,NOP,28,67,30,37,35.8,21.2,8.2,17.3,47.2,1.8,5.4,32.5,3.1,4,76.8,1.1,3.9,5,7.7,3.1,1.6,0.8,2.2,42.9,18,0,3.4
Julius Randle,NOP,24,70,31,39,30.5,21.2,7.7,14.8,52.2,0.9,2.6,33.7,4.8,6.6,73.4,2.2,6.4,8.6,3.1,2.8,0.7,0.6,3.4,37.5,29,1,0.1
Luka Doncic,DAL,20,70,27,43,32.2,21.1,7,16.4,42.5,2.3,7.2,32.7,4.8,6.8,70.9,1.1,6.5,7.6,5.9,3.4,1.1,0.3,1.9,39.9,22,7,-1.7
Mike Conley,MEM,31,69,29,40,33.4,20.9,7,16,43.6,2.2,6.1,36.4,4.8,5.7,84.7,0.6,2.8,3.4,6.4,1.9,1.3,0.3,1.7,37.8,10,0,0
Buddy Hield,SAC,26,75,37,38,32.2,20.9,7.7,16.8,45.7,3.4,7.9,42.7,2.2,2.5,88.6,1.3,3.8,5.1,2.5,1.9,0.7,0.4,2.5,32.1,3,0,0.5
D'Angelo Russell,BKN,23,75,38,37,30.2,20.8,8,18.6,43.1,2.8,7.8,36.1,1.9,2.5,77.2,0.6,3.1,3.7,7,3.1,1.2,0.3,1.7,37.1,11,0,-0.5
Nikola Vucevic,ORL,28,75,37,38,31.4,20.7,8.7,16.9,51.8,1,2.9,36.4,2.2,2.8,79.2,2.8,9.4,12.1,3.9,1.9,1,1.1,1.9,45.7,56,1,2.5
John Wall,WAS,28,32,11,21,34.5,20.7,7.7,17.3,44.4,1.6,5.3,30.2,3.8,5.5,69.7,0.5,3.2,3.6,8.7,3.8,1.5,0.9,2.2,41.7,10,0,-4.8
Lou Williams,LAC,32,69,44,25,26.7,20.3,6.6,15.4,42.8,1.4,4,35.5,5.7,6.5,87.8,0.5,2.4,3,5.3,2.4,0.8,0.1,1.1,32.1,7,1,3.6
Tobias Harris,PHI,26,76,44,32,34.9,20.2,7.5,15.2,49.4,2,4.8,41,3.3,3.7,87,0.8,7.1,7.9,2.8,1.9,0.7,0.5,2.2,35.4,15,0,0.5
Nikola Jokic,DEN,24,73,49,24,31.4,20.2,7.7,15.2,50.5,1.1,3.4,32,3.8,4.6,83.2,2.9,7.8,10.8,7.5,3.1,1.3,0.7,2.8,47.3,51,12,4
Danilo Gallinari,LAC,30,64,38,26,30.4,19.7,6,13,46.2,2.4,5.6,43.6,5.3,5.8,90.6,0.8,5.3,6.1,2.5,1.4,0.7,0.3,1.9,32.4,6,0,1.6
John Collins,ATL,21,56,22,34,29.5,19.3,7.5,13.4,56.3,0.9,2.5,35.5,3.3,4.4,76.6,3.6,6.1,9.7,1.9,1.9,0.4,0.6,3.3,34.5,30,0,-0.8
Jimmy Butler,PHI,29,62,37,25,33.9,19.1,6.6,14,46.7,1,3,34.9,4.9,5.7,86.4,1.8,3.4,5.2,4.1,1.5,1.9,0.6,1.7,37.7,2,0,2.9
Trae Young,ATL,20,75,27,48,30.8,18.9,6.4,15.3,41.9,2,5.9,33.7,4.1,5.1,82.1,0.7,2.8,3.6,7.9,3.9,0.8,0.2,1.7,34.2,27,1,-4
Victor Oladipo,IND,26,36,25,11,31.9,18.8,6.9,16.3,42.3,2.1,6,34.3,2.9,3.9,73,0.6,5,5.6,5.2,2.3,1.7,0.3,2,36.9,5,0,3.5
Lauri Markkanen,CHI,21,52,16,36,32.3,18.7,6.6,15.3,43,2.3,6.4,36.1,3.3,3.8,87.2,1.4,7.6,9,1.4,1.6,0.7,0.6,2.3,34.1,20,0,-3.8
Kyle Kuzma,LAL,23,69,32,37,33.1,18.7,7.1,15.5,45.5,1.8,6,30.4,2.7,3.6,75.2,0.9,4.6,5.5,2.6,1.9,0.6,0.4,2.4,30.1,4,0,-1
Brandon Ingram,LAL,21,52,25,27,33.9,18.3,7,14,49.7,0.6,1.8,33,3.8,5.6,67.5,0.8,4.3,5.1,3,2.5,0.5,0.6,2.9,29.8,2,0,-1.1
Jamal Murray,DEN,22,68,45,23,32.8,18.2,6.8,15.7,43.4,2,5.5,36.6,2.5,2.9,85,0.9,3.3,4.2,4.8,2.2,0.9,0.4,2.1,31.7,3,0,3.5
Khris Middleton,MIL,27,73,54,19,31.5,18.1,6.5,14.8,43.8,2.3,6.1,37.9,2.8,3.3,83.6,0.7,5.5,6.1,4.3,2.2,1,0.1,2.3,33,7,0,7.2
Tim Hardaway Jr.,DAL,27,65,14,51,31.6,18.1,6,15.3,39.3,2.5,7.3,34,3.6,4.2,84.1,0.5,2.9,3.4,2.4,1.6,0.8,0.1,2.2,27.1,2,0,-6.2
Bojan Bogdanovic,IND,29,75,45,30,31.8,18,6.5,12.9,49.9,2.1,4.8,42.9,3,3.8,80.9,0.4,3.7,4.1,1.9,1.6,0.8,0,1.7,26.7,0,0,2.2
Derrick Rose,MIN,30,51,24,27,27.3,18,7.1,14.8,48.2,1.1,2.9,37,2.7,3.1,85.6,0.6,2.1,2.7,4.3,1.6,0.6,0.2,1.1,28.7,1,0,0.7
T.J. Warren,PHX,25,43,10,33,31.6,18,6.9,14.2,48.6,1.8,4.2,42.8,2.3,2.9,81.5,0.7,3.3,4,1.5,1.2,1.2,0.7,2.8,29.4,0,0,-5.2
Andrew Wiggins,MIN,24,65,28,37,34.8,17.7,6.6,16.5,40.4,1.6,4.7,33.2,2.8,4.1,68.8,1.1,3.7,4.8,2.4,1.8,1,0.7,2,30.1,3,0,-0.6
JJ Redick,PHI,34,71,47,24,31.4,17.6,5.8,13.4,43.2,3.1,7.9,39.1,2.9,3.2,90,0.3,2.1,2.4,2.7,1.3,0.4,0.2,1.7,25.1,1,0,4.3
